base,target,top0,top1,top2,top3,top4,k_order,k_score
cheap__cheaper,coarse__coarser,cheap__cheaper,easy__easier,smart__smarter,quick__quicker,loud__louder,,
sticky__stickier,pure__purer,sticky__stickier,sexy__sexier,tasty__tastier,hot__hotter,tricky__trickier,,
vague__vaguer,strict__stricter,vague__vaguer,handy__handier,ugly__uglier,noisy__noisier,coarse__coarser,,
clever__cleverer,scary__scarier,clever__cleverer,lucky__luckier,smart__smarter,strong__stronger,rude__ruder,,
mad__madder,sexy__sexier,mad__madder,angry__angrier,sad__sadder,proud__prouder,weird__weirder,,
mild__milder,fierce__fiercer,mild__milder,tiny__tinier,tasty__tastier,tricky__trickier,warm__warmer,,
hardy__hardier,pure__purer,hardy__hardier,sexy__sexier,heavy__heavier,tasty__tastier,tricky__trickier,,
strong__stronger,lazy__lazier,strong__stronger,wealthy__wealthier,smart__smarter,tough__tougher,healthy__healthier,,
huge__huger,hungry__hungrier,huge__huger,big__bigger,noisy__noisier,great__greater,lengthy__lengthier,,
nasty__nastier,merry__merrier,nasty__nastier,fierce__fiercer,weird__weirder,scary__scarier,noisy__noisier,,
hungry__hungrier,healthy__healthier,hungry__hungrier,angry__angrier,mad__madder,sad__sadder,lazy__lazier,,
risky__riskier,hungry__hungrier,risky__riskier,scary__scarier,tricky__trickier,sexy__sexier,sad__sadder,,
lazy__lazier,clever__cleverer,lazy__lazier,dumb__dumber,lucky__luckier,weak__weaker,rude__ruder,,
weak__weaker,dense__denser,weak__weaker,dumb__dumber,strong__stronger,lazy__lazier,wealthy__wealthier,,
tricky__trickier,strong__stronger,tricky__trickier,scary__scarier,tasty__tastier,risky__riskier,tiny__tinier,,
handy__handier,noisy__noisier,handy__handier,tasty__tastier,noisy__noisier,tricky__trickier,mild__milder,2,0.933847487
dense__denser,rocky__rockier,dense__denser,hardy__hardier,heavy__heavier,sharp__sharper,sticky__stickier,,
weird__weirder,weak__weaker,weird__weirder,scary__scarier,cute__cuter,sexy__sexier,risky__riskier,,
moist__moister,nice__nicer,moist__moister,tasty__tastier,noisy__noisier,sticky__stickier,sexy__sexier,,
proud__prouder,coarse__coarser,proud__prouder,mad__madder,angry__angrier,sad__sadder,fierce__fiercer,,
lucky__luckier,coarse__coarser,lucky__luckier,sunny__sunnier,tasty__tastier,smart__smarter,sexy__sexier,,
tiny__tinier,hot__hotter,tiny__tinier,tricky__trickier,tasty__tastier,small__smaller,rocky__rockier,,
pure__purer,noisy__noisier,pure__purer,scary__scarier,tasty__tastier,sexy__sexier,cute__cuter,,
appoints__appointed,receives__received,appoints__appointed,manage__managed,manages__managed,create__created,refers__referred,,
locates__located,marries__married,locates__located,hears__heard,locate__located,publishes__published,understand__understood,,
intends__intended,contains__contained,intends__intended,sends__sent,expects__expected,proposes__proposed,considers__considered,,
publishes__published,adds__added,publishes__published,considers__considered,sends__sent,locates__located,marries__married,,
consists__consisted,marries__married,consists__consisted,consisting__consists,consists__includes,spent__represented,water__irrigated,,
requires__required,remains__remained,requires__required,require__required,allows__allowed,requiring__required,download__downloadable,,
applies__applied,tells__told,applies__applied,allows__allowed,announces__announced,proposes__proposed,considers__considered,,
believes__believed,applies__applied,believes__believed,decides__decided,proposes__proposed,continues__continued,believe__believes,,
continues__continued,creates__created,continues__continued,continuing__continued,continue__continued,describes__described,believes__believed,,
provides__provided,manages__managed,provides__provided,provide__provided,providing__provided,provide__provides,introduces__introduced,,
operates__operated,appears__appeared,operates__operated,proposes__proposed,performs__performed,announces__announced,sends__sent,,
develops__developed,announces__announced,develops__developed,develop__developed,includes__included,continues__continued,involves__involved,,
happens__happened,includes__included,happens__happened,occurs__occurred,appears__appeared,existing__existed,occurring__occurs,,
spends__spent,represents__represented,spends__spent,spend__spent,spending__spent,sends__sent,decides__decided,,
expects__expected,contains__contained,expects__expected,expect__expected,expecting__expected,intends__intended,predicting__predicted,,
represents__represented,expects__expected,represents__represented,contains__contained,considers__considered,representing__represented,understanding__understood,,
agrees__agreed,creates__created,agrees__agreed,agree__agreed,agreeing__agreed,allows__allowed,includes__included,,
follows__followed,contains__contained,follows__followed,follow__followed,following__followed,provides__provided,receive__receives,,
receives__received,spends__spent,receives__received,creates__created,receive__received,marries__married,manages__managed,,
seems__seemed,fails__failed,seems__seemed,seem__seemed,seem__seems,seeming__seems,appears__appeared,,
asks__asked,occurs__occurred,asks__asked,ask__asked,asking__asked,provides__provided,proposes__proposed,,
announces__announced,fails__failed,announces__announced,proposes__proposed,decides__decided,announce__announced,introduces__introduced,,
tells__told,happens__happened,tells__told,telling__told,tell__told,introduces__introduced,describes__described,,
refers__referred,appears__appeared,refers__referred,refer__referred,ensure__ensured,represents__represented,operates__operated,,
allows__allowed,proposes__proposed,allows__allowed,applies__applied,allow__allowed,includes__included,requires__required,,
performs__performed,establishes__established,performs__performed,operates__operated,perform__performed,manages__managed,proposes__proposed,,
adds__added,relates__related,adds__added,add__added,spends__spent,adding__added,develop__develops,,
becomes__became,applies__applied,becomes__became,become__became,become__becomes,seems__seemed,becoming__became,,
relates__related,adds__added,relates__related,includes__included,relate__related,continues__continued,describes__described,,
creates__created,seems__seemed,creates__created,receives__received,manages__managed,create__created,provides__provided,,
remains__remained,tells__told,remains__remained,remain__remained,remaining__remained,happening__happens,appears__appeared,,
proposes__proposed,describes__described,proposes__proposed,announces__announced,introduces__introduced,describes__described,sends__sent,3,0.926425278
marries__married,publishes__published,marries__married,develops__developed,publishes__published,locates__located,receives__received,2,0.852696776
occurs__occurred,decides__decided,occurs__occurred,happens__happened,appears__appeared,appear__appeared,occurring__occurs,,
involves__involved,loses__lost,involves__involved,involve__involved,involving__involved,develops__developed,includes__included,,
fails__failed,performs__performed,fails__failed,loses__lost,failing__failed,hears__heard,publishes__published,,
loses__lost,occurs__occurred,loses__lost,fails__failed,lose__lost,losing__lost,hears__heard,,
introduces__introduced,intends__intended,introduces__introduced,describes__described,introduce__introduced,proposes__proposed,announces__announced,,
sends__sent,allows__allowed,sends__sent,send__sent,proposes__proposed,sending__sent,decides__decided,,
replaces__replaced,appears__appeared,replaces__replaced,replace__replaced,replacing__replaced,introduces__introduced,proposes__proposed,,
includes__included,creates__created,includes__included,relates__related,allows__allowed,include__included,contains__contained,,
considers__considered,proposes__proposed,considers__considered,consider__considered,decides__decided,considering__considered,announces__announced,,
appears__appeared,agrees__agreed,appears__appeared,occurs__occurred,appear__appeared,happens__happened,existing__existed,,
hears__heard,consists__consisted,hears__heard,hear__heard,locates__located,understand__understood,publishes__published,,
suggests__suggested,manages__managed,suggests__suggested,proposes__proposed,describes__described,introduces__introduced,believes__believed,,
property__properties,economy__economies,property__properties,resource__resources,product__products,fact__facts,technology__technologies,,
society__societies,child__children,society__societies,community__communities,family__families,government__governments,army__armies,,
majority__majorities,community__communities,majority__majorities,find__finds,river__rivers,estimate__estimates,decrease__decreases,,
history__histories,country__countries,history__histories,analysis__analyses,story__stories,policy__policies,theory__theories,,
theory__theories,entry__entries,theory__theories,strategy__strategies,policy__policies,application__applications,technology__technologies,,
loss__losses,basis__bases,loss__losses,find__finds,event__events,ability__abilities,opportunity__opportunities,,
basis__bases,property__properties,basis__bases,grounds_for_a_building__foundations,range__mountains,set__scenery,basis__history,,
business__businesses,university__universities,business__businesses,government__governments,economy__economies,agency__agencies,industry__industries,,
responsibility__responsibilities,county__counties,responsibility__responsibilities,development__developments,problem__problems,ability__abilities,duty__duties,,
entry__entries,policy__policies,entry__entries,example__examples,theory__theories,story__stories,play__plays,,
category__categories,woman__women,category__categories,industry__industries,department__departments,country__countries,county__counties,,
wife__wives,security__securities,wife__wives,child__children,horse__horses,secretary__secretaries,dog__dogs,,
technology__technologies,county__counties,technology__technologies,theory__theories,language__languages,role__roles,product__products,,
memory__memories,business__businesses,memory__memories,history__histories,story__stories,work__works,activity__activities,,
century__centuries,secretary__secretaries,century__centuries,month__months,week__weeks,day__days,country__countries,,
safety__safeties,policy__policies,safety__safeties,role__roles,ability__abilities,technology__technologies,energy__energies,,
duty__duties,community__communities,duty__duties,role__roles,responsibility__responsibilities,dream__dreams,event__events,,
opportunity__opportunities,child__children,opportunity__opportunities,loss__losses,find__finds,responsibility__responsibilities,solution__solutions,,
secretary__secretaries,majority__majorities,secretary__secretaries,wife__wives,cow__cows,bird__birds,mouse__mice,,
university__universities,child__children,university__universities,college__colleges,city__cities,town__towns,village__villages,,
analysis__analyses,energy__energies,analysis__analyses,history__histories,policy__policies,strategy__strategies,example__examples,,
army__armies,country__countries,army__armies,family__families,society__societies,country__countries,community__communities,3,0.943499684
county__counties,category__categories,county__counties,country__countries,department__departments,area__areas,village__villages,,
authority__authorities,woman__women,authority__authorities,property__properties,law__laws,memory__memories,fact__facts,,
community__communities,academy__academies,community__communities,family__families,society__societies,country__countries,army__armies,,
policy__policies,academy__academies,policy__policies,theory__theories,application__applications,strategy__strategies,law__laws,,
formula__formulae,history__histories,formula__formulae,application__applications,policy__policies,play__plays,story__stories,,
security__securities,family__families,security__securities,crop__plants,resource__resources,property__properties,activity__activities,,
family__families,history__histories,family__families,community__communities,army__armies,society__societies,country__countries,,
activity__activities,life__lives,activity__activities,role__roles,event__events,product__products,song__songs,,
economy__economies,activity__activities,economy__economies,government__governments,language__languages,business__businesses,system__systems,,
variety__varieties,majority__majorities,variety__varieties,version__versions,ability__abilities,activity__activities,language__languages,,
child__children,policy__policies,child__children,mouse__mice,horse__horses,wife__wives,cat__cats,,
story__stories,success__successes,story__stories,song__songs,theory__theories,play__plays,system__systems,,
library__libraries,formula__formulae,library__libraries,office__offices,academy__academies,facility__facilities,university__universities,,
city__cities,duty__duties,city__cities,town__towns,university__universities,river__rivers,college__colleges,,
strategy__strategies,story__stories,strategy__strategies,theory__theories,policy__policies,application__applications,technology__technologies,,
industry__industries,woman__women,industry__industries,department__departments,country__countries,community__communities,category__categories,,
facility__facilities,society__societies,facility__facilities,library__libraries,building__buildings,town__towns,industry__industries,,
ability__abilities,category__categories,ability__abilities,event__events,variety__varieties,idea__ideas,activity__activities,,
country__countries,business__businesses,country__countries,county__counties,community__communities,town__towns,family__families,,
woman__women,responsibility__responsibilities,woman__women,man__men,student__students,player__players,wife__wives,,
energy__energies,analysis__analyses,energy__energies,resource__resources,event__events,ability__abilities,idea__ideas,,
life__lives,loss__losses,life__lives,dollar__dollars,variety__varieties,activity__activities,population__populations,,
spend__spent,allow__allowed,spend__spent,spends__spent,spending__spent,send__sent,sends__sent,,
introduce__introduced,establish__established,introduce__introduced,introduces__introduced,introducing__introduced,describe__described,include__included,,
